datetime,consumption
2009/12/31 23:00,61800
2009/12/31 23:30,60000
2010/1/1 0:00,58200
2010/1/1 0:30,59400
2010/1/1 10:00,55700
2010/1/1 10:30,57300
2010/1/1 11:00,58400
2010/1/1 11:30,59500
2010/1/1 12:00,61800
2010/1/1 12:30,58700
2010/1/1 13:00,57600
2010/1/1 13:30,57200
2010/1/1 14:00,56000
2010/1/1 14:30,55900
2010/1/1 15:00,55800
2010/1/1 15:30,56300
2010/1/1 16:00,57200
2010/1/1 16:30,60800
2010/1/1 17:00,64500
2010/1/1 17:30,65300
2010/1/1 18:00,66400
2010/1/1 18:30,65700
2010/1/1 19:00,64900
2010/1/1 19:30,64500
2010/1/1 1:00,58800
2010/1/1 1:30,57100
2010/1/1 20:00,63100
2010/1/1 20:30,62000
2010/1/1 21:00,61200
2010/1/1 21:30,62500
2010/1/1 22:00,65900
2010/1/1 22:30,64500
2010/1/1 23:00,65300
2010/1/1 23:30,63300
2010/1/1 2:00,55100
2010/1/1 2:30,53400
2010/1/1 3:00,52300
2010/1/1 3:30,51500
2010/1/1 4:00,50500
2010/1/1 4:30,51000
2010/1/1 5:00,51200
2010/1/1 5:30,51200
2010/1/1 6:00,51400
2010/1/1 6:30,51800
2010/1/1 7:00,52000
2010/1/1 7:30,51600
2010/1/1 8:00,51500
2010/1/1 8:30,52700
2010/1/1 9:00,53500
2010/1/1 9:30,54700
2010/1/10 0:00,76100
2010/1/10 0:30,77400
2010/1/10 10:00,80600
2010/1/10 10:30,81000
2010/1/10 11:00,81400
2010/1/10 11:30,82000
2010/1/10 12:00,83800
2010/1/10 12:30,80900
2010/1/10 13:00,79300
2010/1/10 13:30,77800
2010/1/10 14:00,76000
2010/1/10 14:30,75600
2010/1/10 15:00,74700
2010/1/10 15:30,74900
2010/1/10 16:00,75700
2010/1/10 16:30,78500
2010/1/10 17:00,81600
2010/1/10 17:30,83900
2010/1/10 18:00,85700
2010/1/10 18:30,85200
2010/1/10 19:00,84800
2010/1/10 19:30,83700
2010/1/10 1:00,76900
2010/1/10 1:30,75700
2010/1/10 20:00,82200
2010/1/10 20:30,80200
2010/1/10 21:00,78600
2010/1/10 21:30,79300
2010/1/10 22:00,81700
2010/1/10 22:30,79200
2010/1/10 23:00,80200
2010/1/10 23:30,77900
2010/1/10 2:00,73600
2010/1/10 2:30,72400
2010/1/10 3:00,70700
2010/1/10 3:30,69700
2010/1/10 4:00,69300
2010/1/10 4:30,69400
2010/1/10 5:00,69300
2010/1/10 5:30,69200
2010/1/10 6:00,69400
2010/1/10 6:30,70300
2010/1/10 7:00,71500
2010/1/10 7:30,72400
2010/1/10 8:00,73600
2010/1/10 8:30,75900
2010/1/10 9:00,77800
2010/1/10 9:30,79500
2010/1/11 0:00,75600
2010/1/11 0:30,76800
2010/1/11 10:00,87600
2010/1/11 10:30,88300
2010/1/11 11:00,88600
2010/1/11 11:30,88200
2010/1/11 12:00,89300
2010/1/11 12:30,87400
2010/1/11 13:00,87000
2010/1/11 13:30,87000
2010/1/11 14:00,85400
2010/1/11 14:30,84700
2010/1/11 15:00,84100
2010/1/11 15:30,84100
2010/1/11 16:00,84800
2010/1/11 16:30,87600
2010/1/11 17:00,90300
2010/1/11 17:30,92100
2010/1/11 18:00,93700
2010/1/11 18:30,91700
2010/1/11 19:00,90600
2010/1/11 19:30,87700
2010/1/11 1:00,77200
2010/1/11 1:30,76000
2010/1/11 20:00,85700
2010/1/11 20:30,83600
2010/1/11 21:00,81900
2010/1/11 21:30,82600
2010/1/11 22:00,84700
2010/1/11 22:30,81600
2010/1/11 23:00,80900
2010/1/11 23:30,78800
2010/1/11 2:00,74200
2010/1/11 2:30,73400
2010/1/11 3:00,72100
2010/1/11 3:30,72000
2010/1/11 4:00,72400
2010/1/11 4:30,74200
2010/1/11 5:00,75900
2010/1/11 5:30,78500
2010/1/11 6:00,80400
2010/1/11 6:30,83200
2010/1/11 7:00,85900
2010/1/11 7:30,86400
2010/1/11 8:00,86000
2010/1/11 8:30,87100
2010/1/11 9:00,87700
2010/1/11 9:30,87800
2010/1/12 0:00,76700
2010/1/12 0:30,79300
2010/1/12 10:00,91100
2010/1/12 10:30,91500
2010/1/12 11:00,91800
2010/1/12 11:30,90700
2010/1/12 12:00,91300
2010/1/12 12:30,89800
2010/1/12 13:00,89400
2010/1/12 13:30,88700
2010/1/12 14:00,86500
2010/1/12 14:30,86000
2010/1/12 15:00,85200
2010/1/12 15:30,85200
2010/1/12 16:00,85600
2010/1/12 16:30,88000
2010/1/12 17:00,90400
2010/1/12 17:30,91600
2010/1/12 18:00,92900
2010/1/12 18:30,91700
2010/1/12 19:00,90300
2010/1/12 19:30,88100
2010/1/12 1:00,79700
2010/1/12 1:30,78500
2010/1/12 20:00,86000
2010/1/12 20:30,84200
2010/1/12 21:00,82300
2010/1/12 21:30,82800
2010/1/12 22:00,85100
2010/1/12 22:30,82000
2010/1/12 23:00,78500
2010/1/12 23:30,76400
2010/1/12 2:00,76600
2010/1/12 2:30,75100
2010/1/12 3:00,74000
2010/1/12 3:30,73700
2010/1/12 4:00,74500
2010/1/12 4:30,75800
2010/1/12 5:00,77600
2010/1/12 5:30,81800
2010/1/12 6:00,85300
2010/1/12 6:30,89300
2010/1/12 7:00,91300
2010/1/12 7:30,90600
2010/1/12 8:00,90300
2010/1/12 8:30,90700
2010/1/12 9:00,90800
2010/1/12 9:30,90600
2010/1/13 0:00,74300
2010/1/13 0:30,76900
2010/1/13 10:00,87800
2010/1/13 10:30,88100
2010/1/13 11:00,88000
2010/1/13 11:30,87500
2010/1/13 12:00,88100
2010/1/13 12:30,86200
2010/1/13 13:00,86200
2010/1/13 13:30,84900
2010/1/13 14:00,83600
2010/1/13 14:30,82500
2010/1/13 15:00,81800
2010/1/13 15:30,81600
2010/1/13 16:00,81900
2010/1/13 16:30,84400
2010/1/13 17:00,86800
2010/1/13 17:30,87900
2010/1/13 18:00,89100
2010/1/13 18:30,87800
2010/1/13 19:00,85700
2010/1/13 19:30,83700
2010/1/13 1:00,77200
2010/1/13 1:30,76400
2010/1/13 20:00,81600
2010/1/13 20:30,79500
2010/1/13 21:00,78000
2010/1/13 21:30,78700
2010/1/13 22:00,80600
2010/1/13 22:30,78200
2010/1/13 23:00,77800
2010/1/13 23:30,75700
2010/1/13 2:00,74300
2010/1/13 2:30,73000
2010/1/13 3:00,72200
2010/1/13 3:30,71500
2010/1/13 4:00,72000
2010/1/13 4:30,73400
2010/1/13 5:00,75000
2010/1/13 5:30,79000
2010/1/13 6:00,82100
2010/1/13 6:30,84700
2010/1/13 7:00,86600
2010/1/13 7:30,87700
2010/1/13 8:00,87700
2010/1/13 8:30,87900
2010/1/13 9:00,88000
2010/1/13 9:30,88100
2010/1/14 0:00,73600
2010/1/14 0:30,75000
2010/1/14 10:00,85100
2010/1/14 10:30,85200
2010/1/14 11:00,84800
2010/1/14 11:30,84100
2010/1/14 12:00,85100
2010/1/14 12:30,83500
2010/1/14 13:00,83300
2010/1/14 13:30,82500
2010/1/14 14:00,81000
2010/1/14 14:30,80700
2010/1/14 15:00,80400
2010/1/14 15:30,80300
2010/1/14 16:00,80900
2010/1/14 16:30,82900
2010/1/14 17:00,85700
2010/1/14 17:30,87100
2010/1/14 18:00,88800
2010/1/14 18:30,86900
2010/1/14 19:00,85200
2010/1/14 19:30,83100
2010/1/14 1:00,75500
2010/1/14 1:30,74800
2010/1/14 20:00,80400
2010/1/14 20:30,78200
2010/1/14 21:00,76100
2010/1/14 21:30,76500
2010/1/14 22:00,79400
2010/1/14 22:30,76700
2010/1/14 23:00,77400
2010/1/14 23:30,74800
2010/1/14 2:00,72800
2010/1/14 2:30,71500
2010/1/14 3:00,70400
