"Time","Value"
1,1.2
2,1.1881
3,1.1762
4,1.1645
5,1.1529
6,1.1415
7,1.1301
8,1.1189
9,1.1077
10,1.0967
11,1.0858
12,1.075
13,1.0643
14,1.0537
15,1.0432
16,1.0328
17,1.0226
18,1.0124
19,1.0023
20,0.99235
21,0.98248
22,0.9727
23,0.96302
24,0.95344
25,0.94395
26,0.93456
27,0.92526
28,0.91606
29,0.90694
30,0.89792
31,0.88898
32,0.88014
33,0.87138
34,0.86271
35,0.85412
36,0.84563
37,0.83721
38,0.82888
39,0.82063
40,0.81247
41,0.80438
42,0.79638
43,0.78846
44,0.78061
45,0.77284
46,0.76515
47,0.75754
48,0.75
49,0.74254
50,0.73515
51,0.72784
52,0.72059
53,0.71342
54,0.70633
55,0.6993
56,0.69234
57,0.68545
58,0.67863
59,0.67188
60,0.66519
61,0.65857
62,0.65202
63,0.64553
64,0.63911
65,0.63275
66,0.62645
67,0.62022
68,0.61405
69,0.60794
70,0.60189
71,0.5959
72,0.58997
73,0.5841
74,0.57829
75,0.57254
76,0.56684
77,0.5612
78,0.55562
79,0.55009
80,0.54461
81,0.53919
82,0.53383
83,0.52852
84,0.52326
85,0.51805
86,0.5129
87,0.50779
88,0.50274
89,0.49774
90,0.49279
91,0.48788
92,0.48303
93,0.47822
94,0.47346
95,0.46875
96,0.46409
97,0.45947
98,0.4549
99,0.45037
100,0.44589
101,0.44146
102,0.43706
103,0.43271
104,0.42841
105,0.42415
106,0.41993
107,0.41575
108,0.41161
109,0.40751
110,0.40346
111,0.39945
112,0.39547
113,0.39154
114,0.38764
115,0.38378
116,0.37996
117,0.37618
118,0.37244
119,0.36873
120,0.36507
121,0.36143
122,0.35784
123,0.35428
124,0.35075
125,0.34726
126,0.34381
127,0.34038
128,0.337
129,0.33364
130,0.33032
131,0.32704
132,0.32378
133,0.32056
134,0.31737
135,0.31421
136,0.31109
137,0.30799
138,0.30493
139,0.30189
140,0.29889
141,0.29592
142,0.29297
143,0.29006
144,0.28717
145,0.28431
146,0.28148
147,0.27868
148,0.27591
149,0.27317
150,0.27045
151,0.26776
152,0.26509
153,0.26245
154,0.25984
155,0.25726
156,0.2547
157,0.25216
158,0.24965
159,0.24717
160,0.24471
161,0.24228
162,0.23987
163,0.23748
164,0.23512
165,0.23278
166,0.23046
167,0.22817
168,0.2259
169,0.22365
170,0.22142
171,0.21922
172,0.22062
173,0.22228
174,0.22422
175,0.22644
176,0.22896
177,0.2318
178,0.23496
179,0.23845
180,0.24228
181,0.24646
182,0.251
183,0.25589
184,0.26115
185,0.26677
186,0.27274
187,0.27907
188,0.28575
189,0.29277
190,0.30011
191,0.30776
192,0.3157
193,0.32393
194,0.33241
195,0.34113
196,0.35007
197,0.3592
198,0.3685
199,0.37794
200,0.38751
201,0.39718
202,0.40692
203,0.41672
204,0.42655
205,0.43639
206,0.44623
207,0.45604
208,0.4658
209,0.47551
210,0.48515
211,0.4947
212,0.50415
213,0.51349
214,0.52271
215,0.5318
216,0.54076
217,0.54957
218,0.55823
219,0.56674
220,0.57508
221,0.58327
222,0.59128
223,0.59913
224,0.6068
225,0.6143
226,0.62162
227,0.62877
228,0.63575
229,0.64255
230,0.64917
231,0.65562
232,0.66189
233,0.66799
234,0.67392
235,0.67968
236,0.68527
237,0.69069
238,0.69595
239,0.70104
240,0.70596
241,0.71073
242,0.71534
243,0.71979
244,0.72409
245,0.72824
246,0.73223
247,0.73608
248,0.73978
249,0.74334
250,0.74676
251,0.75004
252,0.75318
253,0.75618
254,0.75905
255,0.7618
256,0.76441
257,0.7669
258,0.76926
259,0.7715
260,0.77363
261,0.77563
262,0.77752
263,0.77929
264,0.78096
265,0.78251
266,0.78395
267,0.78529
268,0.78653
269,0.78766
270,0.78869
271,0.78963
272,0.79047
273,0.79121
274,0.79186
275,0.79242
276,0.79289
277,0.79328
278,0.79357
279,0.79379
280,0.79392
281,0.79396
282,0.79393
283,0.79382
284,0.79364
285,0.79338
286,0.79305
287,0.79264
288,0.79217
289,0.79162
290,0.79101
291,0.79033
292,0.78959
293,0.78878
294,0.78791
295,0.78698
296,0.78599
297,0.78495
298,0.78384
299,0.78268
300,0.78147
301,0.7802
302,0.77888
303,0.77751
304,0.77609
305,0.77462
306,0.7731
307,0.77154
308,0.76993
309,0.76828
310,0.76658
311,0.76484
312,0.76306
313,0.76124
314,0.75938
315,0.75748
316,0.75555
317,0.75358
318,0.75157
319,0.74953
320,0.74745
321,0.74534
322,0.7432
323,0.74103
324,0.73883
325,0.7366
326,0.73433
327,0.73205
328,0.72973
329,0.72739
330,0.72502
331,0.72263
332,0.72021
333,0.71777
334,0.71531
335,0.71282
336,0.71032
337,0.70779
338,0.70524
339,0.70267
340,0.70009
341,0.69749
342,0.69494
343,0.69244
344,0.69002
345,0.68766
346,0.68537
347,0.68316
348,0.68104
349,0.67901
350,0.67708
351,0.67524
352,0.67352
353,0.67191
354,0.67042
355,0.66906
356,0.66783
357,0.66674
358,0.66579
359,0.66499
360,0.66435
361,0.66386
362,0.66354
363,0.66338
364,0.6634
365,0.66359
366,0.66395
367,0.66449
368,0.66521
369,0.66611
370,0.6672
371,0.66846
372,0.66991
373,0.67153
374,0.67334
375,0.67532
376,0.67748
377,0.67981
378,0.68231
379,0.68498
380,0.68781
381,0.6908
382,0.69395
383,0.69725
384,0.7007
385,0.70429
386,0.70802
387,0.71189
388,0.71588
389,0.72
390,0.72423
391,0.72858
392,0.73304
393,0.73759
394,0.74225
395,0.747
396,0.75183
397,0.75674
398,0.76173
399,0.76678
400,0.7719
401,0.77708
402,0.78231
403,0.78759
404,0.79291
405,0.79827
406,0.80366
407,0.80907
408,0.81451
409,0.81997
410,0.82544
411,0.83092
412,0.83641
413,0.84189
414,0.84738
415,0.85285
416,0.85832
417,0.86378
418,0.86921
419,0.87463
420,0.88003
421,0.8854
422,0.89075
423,0.89607
424,0.90136
425,0.90661
426,0.91183
427,0.91702
428,0.92217
429,0.92728
430,0.93235
431,0.93738
432,0.94237
433,0.94732
434,0.95222
435,0.95709
436,0.96191
437,0.96668
438,0.97142
439,0.97611
440,0.98075
441,0.98535
442,0.98991
443,0.99443
444,0.9989
445,1.0033
446,1.0077
447,1.0121
448,1.0163
449,1.0206
450,1.0248
451,1.029
452,1.0331
453,1.0372
454,1.0413
455,1.0453
456,1.0492
457,1.0532
458,1.0571
459,1.0609
460,1.0647
461,1.0685
462,1.0722
463,1.0759
464,1.0795
465,1.0832
466,1.0867
467,1.0903
468,1.0938
469,1.0972
470,1.1006
471,1.104
472,1.1073
473,1.1106
474,1.1139
475,1.1171
476,1.1203
477,1.1234
478,1.1265
479,1.1296
480,1.1326
481,1.1356
482,1.1385
483,1.1414
484,1.1443
485,1.1471
486,1.1498
487,1.1525
488,1.1552
489,1.1579
490,1.1604
491,1.163
492,1.1655
493,1.1679
494,1.1703
495,1.1727
496,1.175
497,1.1773
498,1.1795
499,1.1816
500,1.1837
501,1.1858
502,1.1878
503,1.1898
504,1.1917
505,1.1936
506,1.1954
507,1.1971
508,1.1988
509,1.2005
510,1.2021
511,1.2037
512,1.2052
513,1.2066
514,1.208
515,1.2093
516,1.2106
517,1.2119
518,1.2131
519,1.2143
520,1.2154
521,1.2165
522,1.2175
523,1.2185
524,1.2195
525,1.2205
526,1.2214
527,1.2223
528,1.2231
529,1.224
530,1.2248
531,1.2256
532,1.2264
533,1.2272
534,1.228
535,1.2287
536,1.2295
537,1.2303
538,1.2311
539,1.2318
540,1.2326
541,1.2334
542,1.2343
543,1.2351
544,1.2359
545,1.2368
546,1.2377
547,1.2387
548,1.2396
549,1.2406
550,1.2417
551,1.2427
552,1.2438
553,1.2449
554,1.2461
555,1.2473
556,1.2486
557,1.2499
558,1.2512
559,1.2525
560,1.2539
561,1.2554
562,1.2568
563,1.2583
564,1.2599
565,1.2615
566,1.263
567,1.2647
568,1.2663
569,1.268
570,1.2696
571,1.2713
572,1.273
573,1.2747
574,1.2764
575,1.278
576,1.2797
577,1.2813
578,1.283
579,1.2845
